LOCALIDAD,TOTAL,Localidad_ID,basic_ed,ungraded,PropOpen,Grade
antonio narino,3.78,15,17199,26613,2.1978021978021978e-4,basic_ed
barrios unidos,23.099999999999998,12,18886,46589,0.0012231282431430688,basic_ed
bosa,214.48,7,106060,3961,0.0020222515557231755,basic_ed
candelaria,7.6,17,13563,38411,5.6034800560348e-4,basic_ed
chapinero,539.42,2,14635,164346,0.03685821660403143,basic_ed
ciudad bolivar,142.22,19,122511,1888,0.0011608753499685743,basic_ed
engativa,237.79,10,110934,114533,0.0021435267816900137,basic_ed
fontibon,186.52,9,46092,0,0.004046689230235182,basic_ed
kennedy,1064.46,8,147910,27419,0.007196673652897032,basic_ed
los martires,16.52,14,19788,7299,8.348494036789974e-4,basic_ed
puente aranda,6.02,16,49225,24453,1.222955815134586e-4,basic_ed
rafael uribe uribe,142.38,18,79454,3108,0.0017919802653107457,basic_ed
san cristobal,106.19,4,69339,234,0.0015314613709456438,basic_ed
suba,3246.6,11,165783,18808,0.019583431353033785,basic_ed
teusaquillo,160.02,13,15098,42559,0.010598754801960526,basic_ed
usaquen,1258.81,1,69160,71937,0.018201417004048582,basic_ed
usme,5.4,5,73757,8880,7.321338991553345e-5,basic_ed
santa fe,0,3,12702,163455,0,basic_ed
tunjuelito,0,6,48551,6541,0,basic_ed
NA,0,NA,0,0,NA,basic_ed
antonio narino,459.6,15,17199,26613,0.0172697553827077,university
barrios unidos,1262.3999999999999,12,18886,46589,0.02709652493077765,university
bosa,89.60000000000001,7,106060,3961,0.022620550366069178,university
chapinero,3913.8,2,14635,164346,0.02381439158847797,university
ciudad bolivar,258,19,122511,1888,0.13665254237288135,university
engativa,566.6,10,110934,114533,0.004947045829586233,university
fontibon,171.4,9,46092,0,0,university
kennedy,614.6,8,147910,27419,0.022415113607352568,university
los martires,120.4,14,19788,7299,0.016495410330182217,university
puente aranda,179.4,16,49225,24453,0.00733652312599681,university
san cristobal,7,4,69339,234,0.029914529914529916,university
santa fe,1144.8,3,12702,163455,0.007003762503441314,university
suba,1037.2,11,165783,18808,0.05514674606550404,university
teusaquillo,1510.8,13,15098,42559,0.03549895439272539,university
tunjuelito,133.6,6,48551,6541,0.020425011466136674,university
usaquen,1030.8,1,69160,71937,0.014329204720797364,university
usme,16.6,5,73757,8880,0.0018693693693693696,university
candelaria,0,17,13563,38411,0,university
rafael uribe uribe,0,18,79454,3108,0,university
NA,0,NA,0,0,0,university
