zipcode,Grade,InPerson,Total_students,Capacity
15001,SECONDARY,48.989584939348426,43543,0.0011250852017396235
15001,UNIVERSITY,1.7716962992710499,38312,4.624390006449807e-05
15047,UNIVERSITY,0.002269845326323732,2,0.001134922663161866
15087,UNIVERSITY,0.001134922663161866,1,0.001134922663161866
15097,UNIVERSITY,0.10100811702140607,89,0.001134922663161866
15114,UNIVERSITY,0.001134922663161866,1,0.001134922663161866
15131,SECONDARY,14.492078681167552,15014,0.0009652376902336187
15131,UNIVERSITY,0.001134922663161866,1,0.001134922663161866
15162,UNIVERSITY,0.002269845326323732,2,0.001134922663161866
15176,SECONDARY,0.4026865239499828,17661,2.2800890320479178e-05
15176,UNIVERSITY,2.9369026322514693,3390,0.0008663429593662151
15180,UNIVERSITY,0.009079381305294927,8,0.001134922663161866
15187,UNIVERSITY,0.002269845326323732,2,0.001134922663161866
15189,UNIVERSITY,0.001134922663161866,1,0.001134922663161866
15223,UNIVERSITY,0.12470440412300877,193,0.0006461368089275066
15224,UNIVERSITY,0.002269845326323732,2,0.001134922663161866
15236,UNIVERSITY,0.001134922663161866,1,0.001134922663161866
15238,SECONDARY,2.338148543578051,23464,9.96483354746868e-05
15238,UNIVERSITY,0.7524899906295255,7486,0.00010051963540335633
15299,UNIVERSITY,0.2868847431638129,444,0.0006461368089275065
15322,UNIVERSITY,0.07036520511603568,62,0.001134922663161866
15332,UNIVERSITY,0.001134922663161866,1,0.001134922663161866
15407,UNIVERSITY,0.00794445864213306,7,0.0011349226631618657
15455,UNIVERSITY,0.09306365837927301,82,0.001134922663161866
15466,UNIVERSITY,0.001134922663161866,1,0.001134922663161866
15469,UNIVERSITY,0.13439645625692137,208,0.0006461368089275066
15480,UNIVERSITY,0.001134922663161866,1,0.001134922663161866
15491,UNIVERSITY,0.002269845326323732,2,0.001134922663161866
15494,UNIVERSITY,0.001134922663161866,1,0.001134922663161866
15507,UNIVERSITY,0.027238143915884784,24,0.001134922663161866
15514,SECONDARY,0.39887877526646276,17494,2.2800890320479178e-05
15516,UNIVERSITY,0.001134922663161866,1,0.001134922663161866
15572,SECONDARY,14.405207289046526,14924,0.0009652376902336187
15572,UNIVERSITY,0.29916134253343557,463,0.0006461368089275066
15621,UNIVERSITY,0.01929368527375172,17,0.001134922663161866
15646,UNIVERSITY,0.003404767989485598,3,0.001134922663161866
15676,UNIVERSITY,0.001134922663161866,1,0.001134922663161866
15693,UNIVERSITY,0.21968651503535222,340,0.0006461368089275065
15753,UNIVERSITY,0.1550728341426016,240,0.0006461368089275066
15757,UNIVERSITY,0.08076710111593832,125,0.0006461368089275065
15759,SECONDARY,46.682035190580464,41492,0.0011250852017396235
15759,UNIVERSITY,0.41075170676499584,12501,3.285750794056442e-05
15778,UNIVERSITY,0.03404767989485598,30,0.001134922663161866
15814,UNIVERSITY,0.002269845326323732,2,0.001134922663161866
15816,UNIVERSITY,0.001134922663161866,1,0.001134922663161866
